Id,Target
v_009evckk5b_0022,1 532.73 1018.065 77.74 35.87 0;1 850.495 230.93 35.25 81.18 321.06;1 909.22 843.1 38.18 86.5 0;1 914.765 950.25 32.35 77.3 0;1 917.985 1048.55 36.65 62.9 0;1 962.49 845.015 33.82 76.87 0;1 967.19 988.975 38 82.25 0;1 1740.725 270.875 86.85 35.97 0;7 1366.105 130.555 112.93 49.67 0
v_009evckk5b_0023,1 532.635 1018.065 77.75 35.87 0;1 845.435 224.055 35.25 81.19 319.34;1 909.195 843.09 38.17 86.5 0;1 914.705 950.3 32.35 77.3 0;1 917.97 1048.55 36.68 62.9 0;1 962.49 845.005 33.82 76.87 0;1 967.19 986.655 38 82.25 0;1 1714.005 271.325 86.85 35.97 0;7 1354.6 130.37 112.28 49.68 0
v_009evckk5b_0024,1 532.54 1018.065 77.74 35.87 0;1 840.385 217.185 35.25 81.19 317.62;1 909.175 843.07 38.17 86.5 0;1 914.655 950.35 32.35 77.3 0;1 917.96 1048.55 36.7 62.9 0;1 962.49 844.99 33.82 76.86 0;1 967.19 984.34 38 82.24 0;1 1687.285 271.77 86.85 35.98 0;7 1343.1 130.19 111.62 49.68 0
v_009evckk5b_0025,1 532.445 1018.065 77.75 35.87 0;1 835.335 210.315 35.25 81.19 315.9;1 909.155 843.06 38.17 86.5 0;1 914.595 950.39 32.35 77.3 0;1 917.95 1048.55 36.72 62.9 0;1 962.49 844.975 33.82 76.87 0;1 967.19 982.025 38 82.25 0;1 1660.565 272.215 86.85 35.97 0;7 1331.595 130.005 110.97 49.67 0
v_009evckk5b_0026,1 532.35 1018.065 77.74 35.87 0;1 828.665 204.93 35.25 81.18 314.69;1 909.135 843.04 38.17 86.5 0;1 914.545 950.44 32.35 77.3 0;1 917.935 1048.55 36.75 62.9 0;1 962.49 844.965 33.82 76.87 0;1 967.19 979.705 38 82.25 0;1 1633.845 272.665 86.85 35.97 0;7 1320.095 129.82 110.31 49.68 0
v_009evckk5b_0027,1 532.25 1018.065 77.74 35.87 0;1 822.005 199.55 35.25 81.18 313.48;1 909.115 843.02 38.17 86.5 0;1 914.485 950.49 32.35 77.3 0;1 917.925 1048.55 36.77 62.9 0;1 962.49 844.955 33.82 76.87 0;1 967.19 977.385 38 82.25 0;1 1607.125 273.105 86.85 35.97 0;7 1308.595 129.64 109.65 49.68 0
v_009evckk5b_0028,1 532.16 1018.065 77.74 35.87 0;1 815.335 194.165 35.25 81.19 312.27;1 909.095 843.01 38.17 86.5 0;1 914.435 950.54 32.35 77.3 0;1 917.915 1048.55 36.79 62.9 0;1 962.49 844.94 33.82 76.86 0;1 967.235 975.21 37.99 82.24 0;1 1581.115 273.24 86.51 35.98 0;7 1297.09 129.455 109 49.67 0
v_009evckk5b_0029,1 532.06 1018.065 77.74 35.87 0;1 808.675 188.785 35.25 81.19 311.06;1 909.075 842.99 38.17 86.5 0;1 914.545 950.43 32.35 77.3 0;1 917.9 1048.55 36.82 62.9 0;1 962.49 844.925 33.82 76.87 0;1 967.285 973.035 37.99 82.25 0;1 1555.1 273.375 86.16 35.97 0;7 1285.59 129.27 108.34 49.68 0
v_009evckk5b_0030,1 532.085 1018.065 77.75 35.87 0;1 802.005 183.405 35.25 81.19 309.85;1 909.055 842.975 38.17 86.49 0;1 914.655 950.32 32.35 77.3 0;1 917.89 1048.55 36.84 62.9 0;1 962.49 844.915 33.82 76.87 0;1 967.33 970.855 38 82.25 0;1 1529.09 273.505 85.82 35.97 0;7 1274.09 129.09 107.68 49.68 0
v_009evckk5b_0031,1 532.11 1018.065 77.74 35.87 0;1 795.345 178.025 35.25 81.19 308.64;1 909.035 842.96 38.17 86.5 0;1 914.765 950.21 32.35 77.3 0;1 917.88 1048.55 36.86 62.9 0;1 962.49 844.905 33.82 76.87 0;1 967.375 968.685 37.99 82.25 0;1 1503.07 273.64 85.48 35.98 0;7 1262.585 128.905 107.03 49.67 0
v_009evckk5b_0032,1 532.13 1018.065 77.74 35.87 0;1 788.675 172.64 35.25 81.18 307.43;1 909.015 842.94 38.17 86.5 0;1 914.875 950.1 32.35 77.3 0;1 917.865 1048.55 36.89 62.9 0;1 962.49 844.885 33.82 76.87 0;1 967.425 966.505 37.99 82.25 0;1 1477.06 273.775 85.14 35.97 0;7 1252.845 128.835 106.51 49.67 0
v_009evckk5b_0033,1 532.16 1018.065 77.74 35.87 0;1 782.015 167.26 35.25 81.18 306.22;1 908.995 842.93 38.17 86.5 0;1 914.985 949.99 32.35 77.3 0;1 917.855 1048.55 36.91 62.9 0;1 962.49 844.875 33.82 76.87 0;1 967.475 964.755 37.99 82.25 0;1 1451.045 273.905 84.79 35.97 0;7 1243.1 128.76 106 49.68 0
v_009evckk5b_0034,1 532.18 1018.065 77.74 35.87 0;1 775.345 161.875 35.25 81.19 305.01;1 908.975 842.91 38.17 86.5 0;1 915.095 949.88 32.35 77.3 0;1 917.845 1048.55 36.93 62.9 0;1 962.49 844.865 33.82 76.87 0;1 967.52 963.005 38 82.25 0;1 1425.035 274.04 84.45 35.98 0;7 1233.355 128.685 105.49 49.67 0
v_009evckk5b_0035,1 532.205 1018.065 77.75 35.87 0;1 768.685 156.495 35.25 81.19 303.8;1 908.955 842.89 38.17 86.5 0;1 915.2 949.77 32.34 77.3 0;1 917.83 1048.55 36.96 62.9 0;1 962.49 844.855 33.82 76.87 0;1 967.565 961.255 37.99 82.25 0;1 1399.02 274.175 84.1 35.97 0;7 1223.61 128.615 104.98 49.67 0
v_009evckk5b_0036,1 532.23 1018.065 77.74 35.87 0;1 759.78 153.045 35.26 81.19 301.78;1 908.935 842.88 38.17 86.5 0;1 915.31 949.66 32.34 77.3 0;1 917.82 1048.55 36.98 62.9 0;1 962.49 844.835 33.82 76.87 0;1 967.615 959.505 37.99 82.25 0;1 1373.01 274.305 83.76 35.97 0;7 1213.865 128.54 104.47 49.68 0
v_009evckk5b_0037,1 532.255 1018.065 77.75 35.87 0;1 750.875 149.595 35.25 81.19 299.76;1 908.915 842.86 38.17 86.5 0;1 915.42 949.55 32.34 77.3 0;1 917.81 1048.55 37 62.9 0;1 962.49 844.825 33.82 76.87 0;1 967.66 957.755 38 82.25 0;1 1346.995 274.44 83.41 35.98 0;7 1204.125 128.47 103.95 49.68 0
v_009evckk5b_0038,1 532.28 1018.065 77.74 35.87 0;1 741.975 146.145 35.25 81.19 297.74;1 908.895 842.85 38.17 86.5 0;1 917.795 1048.55 37.03 62.9 0;1 915.53 949.44 32.34 77.3 0;1 962.49 844.815 33.82 76.87 0;1 967.78 956.985 38 82.25 0;1 1321.67 274.69 83.42 35.98 0;7 1194.38 128.395 103.44 49.67 0
v_009evckk5b_0039,1 532.3 1018.065 77.74 35.87 0;1 733.075 142.695 35.25 81.19 295.72;1 908.875 842.83 38.17 86.5 0;1 917.785 1048.55 37.05 62.9 0;1 915.475 949.44 32.35 77.3 0;1 962.49 844.8 33.82 76.86 0;1 967.895 956.215 37.99 82.25 0;1 1296.345 274.935 83.41 35.97 0;7 1184.635 128.32 102.93 49.68 0
v_009evckk5b_0040,1 532.35 1018.065 77.74 35.87 0;1 724.175 139.24 35.25 81.18 293.7;1 908.855 842.81 38.17 86.5 0;1 917.775 1048.55 37.07 62.9 0;1 915.42 949.44 32.34 77.3 0;1 962.49 844.785 33.82 76.87 0;1 968.015 955.45 37.99 82.24 0;1 1271.025 275.185 83.41 35.97 0;7 1174.89 128.25 102.42 49.68 0
v_009evckk5b_0041,1 532.4 1018.065 77.74 35.87 0;1 715.27 135.79 35.26 81.18 291.68;1 908.835 842.8 38.17 86.5 0;1 915.365 949.44 32.35 77.3 0;1 917.76 1048.55 37.1 62.9 0;1 962.49 844.775 33.82 76.87 0;1 968.135 954.68 37.99 82.24 0;1 1245.7 275.435 83.42 35.97 0;7 1165.145 128.175 101.91 49.67 0
v_009evckk5b_0042,1 532.45 1018.065 77.74 35.87 0;1 706.365 132.34 35.25 81.18 289.66;1 908.815 842.78 38.17 86.5 0;1 915.31 949.44 32.34 77.3 0;1 917.75 1048.55 37.12 62.9 0;1 962.49 844.765 33.82 76.87 0;1 968.015 954.145 37.99 82.25 0;1 1220.38 275.685 83.42 35.97 0;7 1157.635 128.14 101.91 49.68 0
v_009evckk5b_0043,1 532.495 1018.065 77.75 35.87 0;1 697.465 128.885 35.25 81.19 287.64;1 908.795 842.765 38.17 86.49 0;1 915.255 949.44 32.35 77.3 0;1 917.74 1048.55 37.14 62.9 0;1 962.49 844.75 33.82 76.86 0;1 967.9 953.615 38 82.25 0;1 1195.055 275.935 83.41 35.97 0;7 1150.125 128.1 101.91 49.68 0
v_009evckk5b_0044,1 532.54 1018.065 77.74 35.87 0;1 688.565 125.435 35.25 81.19 285.62;1 908.775 842.75 38.17 86.5 0;1 915.205 949.44 32.35 77.3 0;1 917.725 1048.55 37.17 62.9 0;1 962.49 844.735 33.82 76.87 0;1 967.78 953.085 38 82.25 0;1 1169.735 276.18 83.41 35.98 0;7 1142.615 128.065 101.91 49.67 0
v_009evckk5b_0045,1 532.59 1018.065 77.74 35.87 0;1 679.665 121.985 35.25 81.19 283.6;1 908.755 842.73 38.17 86.5 0;1 915.145 949.44 32.35 77.3 0;1 917.715 1048.55 37.19 62.9 0;1 962.49 844.725 33.82 76.87 0;1 967.665 952.555 37.99 82.25 0;1 1144.41 276.43 83.42 35.98 0;7 1135.105 128.03 101.91 49.68 0
v_009evckk5b_0046,1 532.64 1018.065 77.74 35.87 0;1 667.765 121.325 35.25 81.19 282.14;1 908.735 842.72 38.17 86.5 0;1 915.095 949.44 32.35 77.3 0;1 917.705 1048.55 37.21 62.9 0;1 962.49 844.715 33.82 76.87 0;1 967.655 952.505 37.99 82.25 0;1 1119.085 276.68 83.41 35.98 0;7 1127.595 127.99 101.91 49.68 0
v_009evckk5b_0047,1 532.685 1018.065 77.75 35.87 0;1 655.87 120.665 35.26 81.19 280.68;1 908.715 842.7 38.17 86.5 0;1 915.035 949.44 32.35 77.3 0;1 917.69 1048.55 37.24 62.9 0;1 962.49 844.695 33.82 76.87 0;1 964.835 1063.43 35.01 33.14 0;1 967.645 952.465 37.99 82.25 0;1 1093.765 276.925 83.41 35.97 0;7 1120.085 127.955 101.91 49.67 0
v_009evckk5b_0048,1 532.73 1018.065 77.74 35.87 0;1 643.975 120 35.25 81.18 279.22;1 908.695 842.68 38.17 86.5 0;1 914.985 949.44 32.35 77.3 0;1 917.68 1048.55 37.26 62.9 0;1 962.49 844.685 33.82 76.87 0;1 964.835 1062.795 35.01 34.41 0;1 967.64 952.42 38 82.24 0;1 1069.175 277.005 82.85 35.97 0;7 1112.575 127.92 101.91 49.68 0
v_009evckk5b_0049,1 532.78 1018.065 77.74 35.87 0;1 632.075 119.335 35.25 81.19 277.76;1 908.675 842.67 38.17 86.5 0;1 914.975 949.38 32.35 77.3 0;1 917.67 1048.55 37.28 62.9 0;1 962.49 844.675 33.82 76.87 0;1 964.835 1062.155 35.01 35.69 0;1 967.63 952.375 38 82.25 0;1 1044.585 277.085 82.29 35.97 0;7 1105.065 127.88 101.91 49.68 0
v_016is7moli_0000,1 691.945 500.475 99.85 44.67 0
v_016is7moli_0001,1 680.125 501.205 99.85 44.67 0;1 1003.35 1058.175 44.06 43.01 0
v_016is7moli_0002,1 667.905 501.995 99.85 44.67 0;1 1003.35 1053.135 44.06 53.09 0
v_016is7moli_0003,1 655.685 502.785 99.85 44.67 0;1 1003.35 1048.1 44.06 63.16 0
v_016is7moli_0004,1 642.9 503.735 99.86 44.67 0;1 1003.475 1041.505 44.05 72.91 0
v_016is7moli_0005,1 628.985 505.015 99.85 44.67 0;1 1003.84 1031.8 44.06 82 0
v_016is7moli_0006,1 615.07 506.295 99.86 44.67 0;1 1004.21 1022.1 44.06 91.1 0
v_016is7moli_0007,1 601.155 507.57 99.85 44.68 0;1 1004.575 1012.4 44.05 100.2 0
v_016is7moli_0008,1 588.885 507.935 99.85 44.67 358.86;1 1005.685 1002.335 44.05 100.19 0
v_016is7moli_0009,1 576.61 508.305 99.86 44.67 357.72;1 1006.785 992.27 44.05 100.2 0
v_016is7moli_0010,1 564.34 508.675 99.86 44.67 356.58;1 1007.89 982.21 44.06 100.2 0
v_016is7moli_0011,1 551.85 509.325 99.86 44.67 356.2;1 1008.44 972.19 44.06 100.2 0
v_016is7moli_0012,1 539.255 510.115 99.85 44.67 356.2;1 1008.715 962.195 44.05 100.19 0
v_016is7moli_0013,1 526.655 510.915 99.85 44.67 356.2;1 1008.985 952.195 44.05 100.19 0
v_016is7moli_0014,1 512.555 511.755 99.85 44.67 356.2;1 1009.225 941.57 44.05 100.2 0
v_016is7moli_0015,1 495.455 512.705 99.85 44.67 356.2;1 1009.385 929.685 44.05 100.19 0
v_016is7moli_0016,1 478.35 513.645 99.86 44.67 356.2;1 1009.545 917.8 44.05 100.2 0
v_016is7moli_0017,1 461.245 514.595 99.85 44.67 356.2;1 1009.7 905.92 44.06 100.2 0
v_016is7moli_0018,1 447.775 515.305 99.85 44.67 356.2;1 1010.235 897.16 44.05 100.2 0
v_016is7moli_0019,1 434.31 516.025 99.86 44.67 356.2;1 1010.765 888.4 44.05 100.2 0
v_016is7moli_0020,1 420.84 516.735 99.86 44.67 356.2;1 1011.295 879.64 44.05 100.2 0
v_016is7moli_0021,1 407.215 517.285 99.85 44.67 356.2;1 1011.405 871.915 44.05 100.19 0
v_016is7moli_0022,1 393.505 517.765 99.85 44.67 356.2;1 1011.295 864.7 44.05 100.2 0
v_016is7moli_0023,1 379.8 518.235 99.86 44.67 356.2;1 1011.195 857.49 44.05 100.2 0
v_016is7moli_0024,1 364.565 518.805 99.85 44.67 356.2;1 1011.165 849.53 44.05 100.2 0
v_016is7moli_0025,1 346.28 519.535 99.86 44.67 356.2;1 1011.305 840.08 44.05 100.2 0
v_016is7moli_0026,1 327.995 520.275 99.85 44.67 356.2;1 1011.445 830.635 44.05 100.19 0
v_016is7moli_0027,1 309.71 521.01 99.86 44.68 356.2;1 1011.58 821.185 44.06 100.19 0
v_016is7moli_0028,1 295.53 521.565 99.86 44.67 356.2;1 1011.03 815.98 44.06 100.2 0
v_016is7moli_0029,1 281.35 522.115 99.86 44.67 356.2;1 1010.485 810.775 44.05 100.19 0
v_016is7moli_0030,1 267.165 522.675 99.85 44.67 356.2;1 1009.935 805.57 44.05 100.2 0
v_016is7moli_0031,1 253.105 523.495 99.85 44.67 356.2;1 1009.505 800.84 44.05 98.98 0
v_016is7moli_0032,1 239.105 524.45 99.85 44.68 356.2;1 1009.145 796.35 44.05 97.14 0
v_016is7moli_0033,1 225.105 525.405 99.85 44.67 356.2;1 1008.775 791.86 44.05 95.32 0
v_016is7moli_0034,1 209.565 526.485 99.85 44.67 356.2;1 1008.395 787.675 44.05 94.09 359.8
v_016is7moli_0035,1 190.945 527.835 99.85 44.67 356.2;1 1007.985 784.115 44.05 94.09 359.2
v_016is7moli_0036,1 172.33 529.185 99.86 44.67 356.2;1 1007.575 780.555 44.05 94.09 358.6
v_016is7moli_0037,1 153.71 530.53 99.86 44.68 356.2;1 1007.16 776.995 44.06 94.09 358
v_016is7moli_0038,1 140.235 531.63 99.85 44.68 356.2;1 1006.875 774.445 44.05 94.09 358
v_016is7moli_0039,1 126.76 532.73 99.86 44.68 356.2;1 1006.595 771.885 44.05 94.09 358
v_016is7moli_0040,1 113.285 533.83 99.85 44.68 356.2;1 1006.31 769.325 44.06 94.09 358
v_016is7moli_0041,1 99.81 534.93 99.86 44.68 356.2;1 1006.025 766.775 44.05 94.09 358
v_016is7moli_0042,1 86.335 536.025 99.85 44.67 356.2;1 1005.745 764.215 44.05 94.09 358
v_016is7moli_0043,1 72.855 537.125 99.85 44.67 356.2;1 1005.455 761.665 44.05 94.09 358
v_016is7moli_0044,1 60.16 537.985 95.24 44.67 356.61;1 1005.19 758.995 44.06 94.09 358
v_016is7moli_0045,1 49.01 538.335 81.4 44.67 357.84;1 1004.955 756.095 44.05 94.09 358
v_016is7moli_0046,1 37.86 538.695 67.56 44.67 359.07;1 1004.715 753.195 44.05 94.09 358
v_016is7moli_0047,1 26.785 539.05 53.57 44.68 0.3;1 1004.48 750.295 44.06 94.09 358
v_016is7moli_0048,1 18.45 539.005 36.9 44.67 0.3;1 1004.1 746.615 44.06 94.09 358
v_016is7moli_0049,1 11.7 538.97 23.4 44.68 0.3;1 1003.72 742.945 44.06 94.09 358
v_01tp2eyell_0000,none
v_01tp2eyell_0001,none
v_01tp2eyell_0002,none
v_01tp2eyell_0003,none
v_01tp2eyell_0004,none
v_01tp2eyell_0005,none
v_01tp2eyell_0006,none
v_01tp2eyell_0007,none
v_01tp2eyell_0008,none
v_01tp2eyell_0009,none
v_01tp2eyell_0010,none
v_01tp2eyell_0011,none
v_01tp2eyell_0012,none
v_01tp2eyell_0013,none
v_01tp2eyell_0014,none
v_01tp2eyell_0015,none
v_01tp2eyell_0016,none
v_01tp2eyell_0017,none
v_01tp2eyell_0018,none
v_01tp2eyell_0019,none
v_01tp2eyell_0020,1 1885.32 509.795 69.36 49.93 340.6
v_01tp2eyell_0021,1 1879.755 510.945 80.15 49.93 342.29
v_01tp2eyell_0022,1 1869.705 512.085 81.97 49.93 343.98
v_01tp2eyell_0023,1 1859.66 513.23 83.78 49.92 345.67
v_01tp2eyell_0024,1 1849.61 514.375 85.6 49.93 347.36
v_01tp2eyell_0025,1 1839.56 515.515 87.42 49.93 349.05
v_01tp2eyell_0026,1 1829.515 516.66 89.23 49.92 350.74
v_01tp2eyell_0027,1 1819.465 517.805 91.05 49.93 352.43
v_01tp2eyell_0028,1 1809.415 518.945 92.87 49.93 354.12
v_01tp2eyell_0029,1 1799.37 520.09 94.68 49.92 355.81
v_01tp2eyell_0030,1 1789.32 521.235 96.5 49.93 357.5
v_01tp2eyell_0031,1 1775.72 521.225 96.9 49.93 357.5
v_01tp2eyell_0032,1 1762.13 521.215 97.3 49.93 357.5
v_01tp2eyell_0033,1 1748.53 521.21 97.7 49.92 357.5
v_01tp2eyell_0034,1 1734.935 521.2 98.09 49.92 357.5
v_01tp2eyell_0035,1 1721.335 521.19 98.49 49.92 357.5
v_01tp2eyell_0036,1 1707.74 521.185 98.9 49.93 357.5
v_01tp2eyell_0037,1 1694.145 521.175 99.29 49.93 357.5
v_01tp2eyell_0038,1 1680.545 521.165 99.69 49.93 357.5
v_01tp2eyell_0039,1 1666.95 521.155 100.08 49.93 357.5
v_01tp2eyell_0040,1 1653.355 521.145 100.49 49.93 357.5
v_01tp2eyell_0041,1 1639.775 520.71 100.49 49.92 357.6778
v_01tp2eyell_0042,1 1626.2 520.275 100.48 49.93 357.8556
v_01tp2eyell_0043,1 1612.625 519.835 100.49 49.93 358.0333
v_01tp2eyell_0044,1 1599.045 519.395 100.49 49.93 358.2111
v_01tp2eyell_0045,1 1585.47 518.955 100.48 49.93 358.3889
v_01tp2eyell_0046,1 1571.895 518.52 100.49 49.92 358.5667
v_01tp2eyell_0047,1 1558.32 518.085 100.48 49.93 358.7444
v_01tp2eyell_0048,1 1544.74 517.645 100.48 49.93 358.9222
v_01tp2eyell_0049,1 1531.165 517.205 100.49 49.93 359.1
v_03ah598sio_0000,1 1097.695 534.495 103.77 47.49 0
v_03ah598sio_0001,1 1088.02 534.495 103.78 47.49 0
v_03ah598sio_0002,1 1078.345 534.495 103.77 47.49 0
v_03ah598sio_0003,1 1068.67 534.495 103.78 47.49 0
v_03ah598sio_0004,1 1058.995 534.495 103.77 47.49 0
v_03ah598sio_0005,1 1049.325 534.495 103.77 47.49 0
v_03ah598sio_0006,1 1039.65 534.495 103.78 47.49 0
v_03ah598sio_0007,1 1029.975 534.495 103.77 47.49 0
v_03ah598sio_0008,1 1020.3 534.495 103.78 47.49 0
v_03ah598sio_0009,1 1010.625 534.495 103.77 47.49 0
